itemName,brand,category,subCategory,MRP,SP,NetValue (in grams),product description
Tuna Adult Wet Cat Food ,Whiskas,food,cat,600,510,85,"Whiskas Tuna in Jelly is a balanced wet cat food recipe that provides moisture and nourishment for a healthy and active cat that requires specific care and nutrition. Whiskas Tuna in Jelly adult cat food is designed to take care of your cat’s daily nutritional requirements and provide it with all the protein, vitamins, and minerals it needs for a healthy and happy life. A cat’s love for fish is thoughtfully blended with loads of calcium, phosphorus, proteins, antioxidants, vitamins, and minerals, in each pack. It helps maintain its fur, heart health, weight, skin, teeth, muscles, bones, and overall immunity. The jelly format packed with Vitamin A and taurine is easy to digest, aids urinary tract health, and also promotes healthy eyesight. Whiskas wet cat food has an appetizing texture, aroma and flavor that appeals to the feline palate and attracts even fussy eaters for a fun and filling mealtime."
Tuna Flavour Dry Adult Cat (+1 year) Food,Whiskas,food,cat,22800,1900,7000,"Whiskas Adult Cat Food is the nutrition that your cat needs for a healthy and active lifestyle. Whiskas cat food is a complete and balanced meal designed to take care of your cat?s daily nutritional requirements and provide it with all the vitamins and minerals needed for a healthy and happy life.
Whiskas Adult Cat Food is the nutrition that your cat needs for a healthy and active lifestyle. Whiskas cat food is a complete and balanced meal designed to take care of your cat?s daily nutritional requirements and provide it with all the vitamins and minerals needed for a healthy and happy life.  Whiskas Dry Cat Food helps support the cat’s vital system by providing it a healthy and shiny coat, healthy eyesight, and energy to be lively and active. In addition, with a texture that appeals to the palate of your feline, Whiskas ensures meal time is filling and fun!  "
Jerhigh Chicken Grilled in Gravy,Jerhigh,food,dog,1680,1480,120,"JerHigh Grilled Chicken in Gravy is a premium dog food suitable for all dog breeds and chock full of nutritional value from calcium to vitamin D to strengthen bones, teeth, and the growth of muscles.? It is made from real chicken, formed into delectable meaty chunks and topped with our delicious gravy. So terrific that your dog won?t be able to resist! Have it on its own or mix it with kibble to widen your dogs? palate and increase their appetite."
Farmina N&D Dry Dog Food Grain Free Pumpkin Chicken & Pomegranate Adult Medium & Maxi,Farmina N&D ,food,dog,2000,2000,2500,Farmina Natural&Delicious (N&D) Dry Dog Food Grain Free Pumpkin Chicken & Pomegranate Adult Mini Breed.
Tuna Adult Wet Cat Food ,Whiskas,food,cat,600,510,85,"Whiskas Tuna in Jelly is a balanced wet cat food recipe that provides moisture and nourishment for a healthy and active cat that requires specific care and nutrition. Whiskas Tuna in Jelly adult cat food is designed to take care of your cat’s daily nutritional requirements and provide it with all the protein, vitamins, and minerals it needs for a healthy and happy life. A cat’s love for fish is thoughtfully blended with loads of calcium, phosphorus, proteins, antioxidants, vitamins, and minerals, in each pack. It helps maintain its fur, heart health, weight, skin, teeth, muscles, bones, and overall immunity. The jelly format packed with Vitamin A and taurine is easy to digest, aids urinary tract health, and also promotes healthy eyesight. Whiskas wet cat food has an appetizing texture, aroma and flavor that appeals to the feline palate and attracts even fussy eaters for a fun and filling mealtime."
Tuna Flavour Dry Adult Cat (+1 year) Food,Whiskas,food,cat,22800,1900,7000,"Whiskas Adult Cat Food is the nutrition that your cat needs for a healthy and active lifestyle. Whiskas cat food is a complete and balanced meal designed to take care of your cat?s daily nutritional requirements and provide it with all the vitamins and minerals needed for a healthy and happy life.
Whiskas Adult Cat Food is the nutrition that your cat needs for a healthy and active lifestyle. Whiskas cat food is a complete and balanced meal designed to take care of your cat?s daily nutritional requirements and provide it with all the vitamins and minerals needed for a healthy and happy life.  Whiskas Dry Cat Food helps support the cat’s vital system by providing it a healthy and shiny coat, healthy eyesight, and energy to be lively and active. In addition, with a texture that appeals to the palate of your feline, Whiskas ensures meal time is filling and fun!  "
Jerhigh Chicken Grilled in Gravy,Jerhigh,food,dog,1680,1480,120,"JerHigh Grilled Chicken in Gravy is a premium dog food suitable for all dog breeds and chock full of nutritional value from calcium to vitamin D to strengthen bones, teeth, and the growth of muscles.? It is made from real chicken, formed into delectable meaty chunks and topped with our delicious gravy. So terrific that your dog won?t be able to resist! Have it on its own or mix it with kibble to widen your dogs? palate and increase their appetite."
Farmina N&D Dry Dog Food Grain Free Pumpkin Chicken & Pomegranate Adult Medium & Maxi,Farmina N&D ,food,dog,2000,2000,2500,Farmina Natural&Delicious (N&D) Dry Dog Food Grain Free Pumpkin Chicken & Pomegranate Adult Mini Breed.
Tuna Adult Wet Cat Food ,Whiskas,food,cat,600,510,85,"Whiskas Tuna in Jelly is a balanced wet cat food recipe that provides moisture and nourishment for a healthy and active cat that requires specific care and nutrition. Whiskas Tuna in Jelly adult cat food is designed to take care of your cat’s daily nutritional requirements and provide it with all the protein, vitamins, and minerals it needs for a healthy and happy life. A cat’s love for fish is thoughtfully blended with loads of calcium, phosphorus, proteins, antioxidants, vitamins, and minerals, in each pack. It helps maintain its fur, heart health, weight, skin, teeth, muscles, bones, and overall immunity. The jelly format packed with Vitamin A and taurine is easy to digest, aids urinary tract health, and also promotes healthy eyesight. Whiskas wet cat food has an appetizing texture, aroma and flavor that appeals to the feline palate and attracts even fussy eaters for a fun and filling mealtime."
Tuna Flavour Dry Adult Cat (+1 year) Food,Whiskas,food,cat,22800,1900,7000,"Whiskas Adult Cat Food is the nutrition that your cat needs for a healthy and active lifestyle. Whiskas cat food is a complete and balanced meal designed to take care of your cat?s daily nutritional requirements and provide it with all the vitamins and minerals needed for a healthy and happy life.
Whiskas Adult Cat Food is the nutrition that your cat needs for a healthy and active lifestyle. Whiskas cat food is a complete and balanced meal designed to take care of your cat?s daily nutritional requirements and provide it with all the vitamins and minerals needed for a healthy and happy life.  Whiskas Dry Cat Food helps support the cat’s vital system by providing it a healthy and shiny coat, healthy eyesight, and energy to be lively and active. In addition, with a texture that appeals to the palate of your feline, Whiskas ensures meal time is filling and fun!  "
Jerhigh Chicken Grilled in Gravy,Jerhigh,food,dog,1680,1480,120,"JerHigh Grilled Chicken in Gravy is a premium dog food suitable for all dog breeds and chock full of nutritional value from calcium to vitamin D to strengthen bones, teeth, and the growth of muscles.? It is made from real chicken, formed into delectable meaty chunks and topped with our delicious gravy. So terrific that your dog won?t be able to resist! Have it on its own or mix it with kibble to widen your dogs? palate and increase their appetite."
